id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
1,1,1190.043546,0,0,370,11.192,2.976,0.584,0.353,0.695,0.138,0.168
1,2,1368.943647,0,0,362,11.186,2.948,0.572,0.327,0.699,0.138,0.163
1,3,1564.015244,0,1,359,11.211,2.933,0.579,0.281,0.708,0.142,0.15
1,4,1608.012829,0,1,338,11.112,3.056,0.583,0.256,0.716,0.145,0.139
2,1,837.5646094,1,0,281,11.497,3.028,0.552,0.085,0.854,0.11,0.036
2,2,1034.33265,1,0,271,11.568,3.037,0.554,0.073,0.856,0.111,0.033
2,3,1106.447008,1,1,313,11.736,2.968,0.498,-0.189,0.847,0.118,0.035
2,4,1247.205095,1,1,313,11.727,2.923,0.505,-0.194,0.847,0.118,0.035
3,1,788.2462273,0,0,226,11.043,2.805,0.659,0.311,0.482,0.46,0.058
3,2,1282.142085,0,0,217,11.222,2.829,0.668,0.289,0.498,0.447,0.055
3,3,1479.099284,0,1,224,11.229,2.821,0.656,0.241,0.509,0.429,0.062
3,4,1386.338552,0,1,255,11.529,2.816,0.624,0.165,0.522,0.416,0.063
4,1,620.6186818,0,0,152,12.002,2.921,0.447,-0.407,0.632,0.237,0.132
4,2,848.6060469,0,0,195,11.645,3.072,0.472,-0.261,0.646,0.226,0.128
4,3,953.7250483,0,1,186,11.735,3.059,0.468,-0.274,0.618,0.253,0.129
4,4,1068.878616,0,1,183,12.071,3.022,0.464,-0.314,0.612,0.251,0.137
5,1,614.2036807,1,0,400,12.949,2.938,0.36,-0.756,0.713,0.115,0.172
5,2,629.8604943,1,0,425,12.938,2.944,0.412,-0.655,0.727,0.122,0.151
5,3,762.1204876,1,1,479,12.552,2.852,0.445,-0.567,0.72,0.125,0.154
5,4,792.3333061,1,1,464,12.389,2.909,0.444,-0.581,0.716,0.136,0.149
6,1,737.5253085,0,0,2284,11.55,3.019,0.531,-0.087,0.62,0.321,0.059
6,2,893.2637671,0,0,2175,11.557,3.017,0.534,-0.08,0.62,0.322,0.058
6,3,962.0465044,0,1,2136,11.6,2.987,0.524,-0.122,0.632,0.31,0.057
6,4,1063.453657,0,1,2200,11.609,3.007,0.524,-0.11,0.627,0.315,0.058
7,1,801.3640648,0,0,259,10.763,2.792,0.66,0.567,0.571,0.29,0.139
7,2,1316.733518,0,0,246,10.576,2.801,0.671,0.574,0.549,0.297,0.154
7,3,1404.335678,0,1,248,10.633,2.879,0.621,0.511,0.552,0.286,0.161
7,4,1778.874649,0,1,232,10.713,2.806,0.603,0.436,0.543,0.284,0.172
8,1,684.4781398,0,0,180,12.229,3.05,0.378,-0.474,0.3,0.422,0.278
8,2,830.7613842,0,0,176,12.036,3.097,0.403,-0.363,0.33,0.409,0.261
8,3,906.2633274,0,1,179,12.203,3.067,0.43,-0.326,0.302,0.413,0.285
8,4,1382.04655,0,1,160,12.139,3.125,0.431,-0.305,0.294,0.412,0.294
9,1,493.3624341,0,0,982,13.111,2.982,0.39,-0.904,0.741,0.136,0.122
9,2,556.4020319,0,0,966,12.887,2.96,0.399,-0.831,0.741,0.138,0.121
9,3,637.0520951,0,1,1015,12.776,2.921,0.434,-0.73,0.737,0.14,0.123
9,4,753.3559106,0,1,989,12.661,2.906,0.44,-0.687,0.728,0.142,0.13
10,1,895.8222959,0,0,1139,10.957,2.989,0.612,0.338,0.442,0.284,0.274
10,2,1185.950063,0,0,1181,11.179,3.002,0.571,0.152,0.451,0.284,0.265
10,3,1199.755225,0,1,1224,11.126,3.025,0.581,0.122,0.453,0.278,0.269
10,4,1527.438604,0,1,1204,11.194,3.017,0.581,0.105,0.454,0.277,0.269
11,1,905.6490008,1,0,427,11.051,3.021,0.593,0.231,0.782,0.148,0.07
11,2,1063.349711,1,0,443,11.031,3.095,0.596,0.186,0.788,0.142,0.07
11,3,1298.90252,1,1,463,10.956,3.084,0.583,0.163,0.788,0.14,0.071
11,4,1465.827863,1,1,473,11.082,3.082,0.562,0.142,0.789,0.135,0.076
12,1,797.2049256,0,0,392,10.865,3.02,0.574,0.204,0.663,0.207,0.13
12,2,929.396092,0,0,384,11.003,3.023,0.565,0.164,0.693,0.193,0.115
12,3,1310.619321,0,1,386,11.004,2.99,0.562,0.138,0.702,0.184,0.114
12,4,1423.737354,0,1,430,11.218,2.97,0.54,0.046,0.719,0.184,0.098
13,1,823.4498933,1,0,1309,11.566,3.017,0.536,-0.003,0.713,0.18,0.108
13,2,1106.999281,1,0,1284,11.617,3.021,0.533,-0.06,0.702,0.188,0.11
13,3,1186.448201,1,1,1268,11.67,3.054,0.529,-0.093,0.707,0.187,0.106
13,4,1219.230419,1,1,1230,11.628,3.094,0.519,-0.11,0.707,0.184,0.11
14,1,880.6126312,1,0,756,11.854,3.078,0.515,-0.177,0.57,0.253,0.177
14,2,941.0792322,1,0,712,11.626,3.073,0.534,-0.157,0.57,0.247,0.183
14,3,1189.757029,1,1,709,11.735,3.087,0.546,-0.16,0.564,0.245,0.19
14,4,1298.056838,1,1,717,11.715,3.077,0.55,-0.125,0.582,0.238,0.18
15,1,795.1215736,0,0,294,11.264,3.061,0.554,0.161,0.592,0.35,0.058
15,2,1017.770647,0,0,298,11.384,3.007,0.534,0.062,0.601,0.339,0.06
15,3,1069.263474,0,1,272,11.239,2.96,0.533,0.051,0.603,0.338,0.059
15,4,1327.600383,0,1,279,11.104,2.957,0.541,0.085,0.584,0.337,0.079
16,1,1030.110514,0,0,892,11.405,2.952,0.561,0.184,0.427,0.364,0.209
16,2,1146.300927,0,0,925,11.368,2.978,0.556,0.159,0.424,0.372,0.204
16,3,1343.544801,0,1,913,11.344,2.98,0.556,0.116,0.416,0.381,0.203
16,4,1435.999822,0,1,849,11.347,2.972,0.557,0.079,0.418,0.38,0.201
17,1,899.8286331,0,0,1970,11.115,2.93,0.582,0.19,0.662,0.261,0.077
17,2,1058.928136,0,0,1905,11.129,2.966,0.571,0.166,0.662,0.262,0.076
17,3,1300.050124,0,1,1861,11.243,2.984,0.557,0.112,0.665,0.261,0.074
17,4,1286.998735,0,1,1813,11.306,2.998,0.548,0.046,0.662,0.259,0.079
18,1,968.157686,1,0,173,11.199,3.012,0.595,0.162,0.705,0.15,0.145
18,2,886.7459747,1,0,185,11.17,3.049,0.578,0.207,0.703,0.168,0.13
18,3,1304.778264,1,1,183,11.31,3.033,0.596,0.195,0.716,0.175,0.109
18,4,1498.206097,1,1,205,11.082,3.044,0.576,0.079,0.693,0.205,0.102
19,1,741.3128352,0,0,1056,11.91,2.949,0.46,-0.339,0.783,0.146,0.071
19,2,877.0231246,0,0,997,11.82,2.944,0.472,-0.288,0.78,0.149,0.07
19,3,954.1447789,0,1,977,11.872,2.938,0.47,-0.298,0.782,0.15,0.068
19,4,1128.013637,0,1,1064,11.77,2.942,0.484,-0.294,0.782,0.155,0.063
20,1,733.5108415,0,0,823,11.773,3.101,0.47,-0.252,0.544,0.241,0.215
20,2,884.6395582,0,0,782,11.738,3.088,0.474,-0.228,0.541,0.238,0.221
20,3,998.8406431,0,1,785,11.763,3.071,0.461,-0.279,0.544,0.238,0.218
20,4,1190.371677,0,1,822,11.704,3.085,0.465,-0.271,0.551,0.238,0.21
21,1,637.8174289,1,0,238,11.582,2.945,0.475,0.13,0.655,0.235,0.109
21,2,881.2309887,1,0,253,11.417,2.957,0.486,0.093,0.644,0.249,0.107
21,3,1194.236087,1,1,250,11.272,2.936,0.496,0.102,0.648,0.236,0.116
21,4,1262.531936,1,1,264,11.694,2.913,0.508,-0.02,0.629,0.258,0.114
22,1,830.7794297,1,0,1969,12.132,3.007,0.447,-0.338,0.786,0.118,0.095
22,2,912.3590262,1,0,2096,11.959,3.029,0.471,-0.268,0.792,0.12,0.088
22,3,1062.992704,1,1,2001,11.945,3.034,0.477,-0.239,0.795,0.12,0.084
22,4,1175.238267,1,1,2099,11.934,3.031,0.484,-0.288,0.789,0.123,0.087
23,1,771.0870499,1,0,630,11.162,2.943,0.617,0.281,0.543,0.263,0.194
23,2,1064.146165,1,0,651,11.18,2.871,0.596,0.181,0.541,0.264,0.195
23,3,1264.123378,1,1,645,11.1,2.893,0.606,0.192,0.541,0.27,0.189
23,4,1290.426538,1,1,634,11.18,2.91,0.607,0.132,0.538,0.276,0.186
24,1,653.4293802,1,0,892,12.615,3.108,0.422,-0.697,0.818,0.137,0.045
24,2,751.9235995,1,0,874,12.5,3.116,0.438,-0.63,0.816,0.141,0.043
24,3,951.8719825,1,1,985,12.404,3.084,0.456,-0.574,0.819,0.136,0.045
24,4,985.1436493,1,1,953,12.389,3.071,0.446,-0.586,0.816,0.139,0.045
25,1,927.7288747,1,0,515,11.529,3.017,0.546,-0.102,0.777,0.179,0.045
25,2,990.6915168,1,0,509,11.533,3.02,0.546,-0.119,0.772,0.185,0.043
25,3,974.175911,1,1,505,11.374,3.034,0.535,-0.114,0.764,0.194,0.042
25,4,1193.42553,1,1,502,11.38,3.03,0.522,-0.148,0.755,0.199,0.046
26,1,748.5286685,0,0,131,11.057,2.656,0.443,0.08,0.702,0.244,0.053
26,2,1498.138613,0,0,129,11.49,2.558,0.45,0.052,0.736,0.202,0.062
26,3,1070.287761,0,1,136,11.115,2.669,0.434,-0.004,0.721,0.213,0.066
26,4,1274.092942,0,1,137,11.162,2.781,0.431,-0.041,0.766,0.175,0.058
27,1,807.5168178,1,0,148,12.302,2.791,0.466,-0.409,0.77,0.209,0.02
27,2,964.3712854,1,0,156,12.187,2.929,0.487,-0.4,0.763,0.205,0.032
27,3,966.0409763,1,1,167,12.134,2.982,0.467,-0.508,0.772,0.198,0.03
27,4,958.8515352,1,1,172,12.15,3.047,0.459,-0.633,0.773,0.186,0.041
28,1,810.9698632,0,0,717,11.748,3.015,0.494,-0.122,0.527,0.338,0.135
28,2,1000.042521,0,0,731,11.745,3.082,0.49,-0.142,0.527,0.331,0.142
28,3,1041.487681,0,1,712,11.651,3.077,0.483,-0.151,0.531,0.326,0.143
28,4,1250.265459,0,1,693,11.662,3.027,0.483,-0.151,0.525,0.333,0.141
29,1,848.7647572,0,0,205,11.142,3.132,0.624,0.346,0.668,0.288,0.044
29,2,982.9078296,0,0,225,11.134,3.16,0.636,0.348,0.649,0.293,0.058
29,3,1174.724739,0,1,210,11.099,3.162,0.638,0.348,0.652,0.29,0.057
29,4,1397.651936,0,1,199,11.102,3.126,0.638,0.277,0.648,0.281,0.07
30,1,867.6815805,1,0,485,11.014,2.953,0.627,0.223,0.72,0.171,0.109
30,2,1143.257151,1,0,474,11.035,2.949,0.62,0.212,0.722,0.179,0.099
30,3,1598.777801,1,1,519,11.42,2.994,0.599,0.068,0.705,0.189,0.106
30,4,1447.628229,1,1,515,11.492,2.95,0.583,-0.018,0.689,0.196,0.115
31,1,845.8184095,1,0,601,11.72,2.76,0.489,-0.241,0.735,0.155,0.11
31,2,985.8584788,1,0,597,11.767,2.791,0.464,-0.31,0.737,0.159,0.104
31,3,1038.479193,1,1,570,11.706,2.795,0.456,-0.313,0.744,0.151,0.105
31,4,979.1153602,1,1,554,11.646,2.771,0.446,-0.367,0.729,0.162,0.108
32,1,906.5651831,1,0,410,11.534,3.005,0.578,0.196,0.82,0.117,0.063
32,2,1278.363078,1,0,450,11.552,3.036,0.571,0.144,0.82,0.113,0.067
32,3,1192.970242,1,1,434,11.633,3.069,0.56,0.092,0.834,0.106,0.06
32,4,1229.495416,1,1,460,11.76,3.007,0.557,0.01,0.843,0.107,0.05
33,1,879.0566019,1,0,476,11.312,2.933,0.559,0.2,0.687,0.218,0.095
33,2,960.41234,1,0,527,11.269,2.983,0.55,0.161,0.676,0.226,0.099
33,3,985.0726375,1,1,527,11.231,3.061,0.546,0.108,0.676,0.22,0.104
33,4,1324.576661,1,1,559,11.341,3.034,0.53,0.031,0.669,0.227,0.104
34,1,599.228235,0,0,362,11.31,3.094,0.478,-0.021,0.627,0.171,0.202
34,2,952.8249731,0,0,368,11.272,3.054,0.492,-0.003,0.647,0.166,0.188
34,3,1218.976893,0,1,384,11.524,3.055,0.505,-0.079,0.641,0.169,0.19
34,4,1005.935258,0,1,406,11.486,3.074,0.522,-0.095,0.648,0.175,0.177
35,1,840.2980662,1,0,444,11.496,3.104,0.545,0.167,0.561,0.288,0.151
35,2,1119.149027,1,0,418,11.721,3.127,0.536,0.174,0.565,0.282,0.153
35,3,1549.648172,1,1,464,11.572,3.08,0.528,0.161,0.573,0.287,0.14
35,4,1518.183106,1,1,433,11.792,3.12,0.538,0.128,0.568,0.282,0.15
36,1,500.7757058,0,0,327,12.477,2.893,0.407,-0.785,0.786,0.174,0.04
36,2,492.0081717,0,0,312,12.41,2.894,0.404,-0.713,0.801,0.16,0.038
36,3,501.5436516,0,1,305,12.479,2.957,0.403,-0.688,0.81,0.148,0.043
36,4,587.0720638,0,1,319,12.41,2.95,0.448,-0.606,0.809,0.157,0.034
37,1,822.938624,0,0,678,11.268,2.903,0.543,0.137,0.639,0.295,0.066
37,2,1034.375408,0,0,647,11.339,2.889,0.539,0.137,0.643,0.294,0.063
37,3,1269.306445,0,1,650,11.321,2.949,0.523,0.037,0.648,0.292,0.06
37,4,1267.449018,0,1,655,11.568,2.913,0.513,-0.068,0.64,0.302,0.058
38,1,1056.043176,0,0,311,11.214,3.116,0.588,0.359,0.627,0.244,0.129
38,2,1452.859782,0,0,299,11.235,3.087,0.589,0.357,0.632,0.237,0.13
38,3,1255.675794,0,1,317,11.172,3.032,0.543,0.168,0.65,0.215,0.136
38,4,1329.101802,0,1,352,11.432,3.045,0.531,0.003,0.645,0.219,0.136
39,1,719.3505189,0,0,173,11.069,2.942,0.647,0.409,0.613,0.185,0.202
39,2,1043.165862,0,0,223,11.413,2.928,0.556,-0.044,0.619,0.179,0.202
39,3,1089.94273,0,1,237,11.341,2.873,0.549,-0.082,0.62,0.173,0.207
39,4,1109.022708,0,1,217,11.215,2.82,0.558,-0.056,0.608,0.175,0.217
40,1,901.4645731,0,0,193,11.698,3.005,0.477,-0.029,0.917,0.052,0.031
40,2,1276.710409,0,0,272,11.51,3.026,0.518,0.029,0.897,0.07,0.033
40,3,1455.253482,0,1,261,11.482,3.038,0.529,0.052,0.904,0.065,0.031
40,4,1427.375529,0,1,235,11.381,3.009,0.519,0.06,0.911,0.064,0.026
41,1,669.4916777,0,0,334,11.428,3.126,0.509,-0.018,0.725,0.135,0.141
41,2,927.9869873,0,0,323,11.469,3.077,0.498,-0.021,0.724,0.121,0.155
41,3,982.4590492,0,1,334,11.583,3.057,0.509,-0.042,0.728,0.123,0.15
41,4,1091.712771,0,1,314,11.599,3.025,0.51,-0.065,0.726,0.127,0.146
42,1,1303.983868,1,0,213,11.789,2.84,0.568,0.068,0.709,0.183,0.108
